internship_id,title,required_skills,domain,min_age,max_age,stipend,remote,capacity,org_pref_govt,ministry,state,csr_underprivileged_pct,description,job_text
I00001,Data Science Intern,"tableau, r, python, ios",Data Science,18,25,5000,0,5,0,Ministry of Culture,Maharashtra,0.05,"tableau, r, python, ios - Work on Data Science projects; stipend 5000","tableau, r, python, ios Data Science stipend:5000"
I00002,DevOps Intern,"machine learning, excel, figma",DevOps,18,35,10000,0,3,0,MoHFW,Maharashtra,0.05,"machine learning, excel, figma - Work on DevOps projects; stipend 10000","machine learning, excel, figma DevOps stipend:10000"
I00003,Data Science Intern,"sales, gcp, aws, r",Data Science,18,35,15000,1,4,0,Ministry of Culture,Gujarat,0.2,"sales, gcp, aws, r - Work on Data Science projects; stipend 15000","sales, gcp, aws, r Data Science stipend:15000"
I00004,Finance Intern,"matlab, kubernetes",Finance,18,30,15000,1,4,0,MeitY,West Bengal,0.05,"matlab, kubernetes - Work on Finance projects; stipend 15000","matlab, kubernetes Finance stipend:15000"
I00005,Mobile Intern,"tableau, business analysis",Mobile,18,35,10000,0,3,1,MoE,Kerala,0.1,"tableau, business analysis - Work on Mobile projects; stipend 10000","tableau, business analysis Mobile stipend:10000"
I00006,Data Science Intern,"computer vision, tableau, marketing",Data Science,18,28,20000,1,4,0,ICAR,Punjab,0.05,"computer vision, tableau, marketing - Work on Data Science projects; stipend 20000","computer vision, tableau, marketing Data Science stipend:20000"
I00007,Data Science Intern,"nlp, excel",Data Science,18,28,8000,0,2,0,MeitY,Tamil Nadu,0.05,"nlp, excel - Work on Data Science projects; stipend 8000","nlp, excel Data Science stipend:8000"
I00008,Product Intern,"matlab, machine learning, ux",Product,18,25,15000,0,5,0,MoHFW,Karnataka,0.2,"matlab, machine learning, ux - Work on Product projects; stipend 15000","matlab, machine learning, ux Product stipend:15000"
I00009,Marketing Intern,"react, html, c++, sales",Marketing,18,28,20000,0,1,0,MoE,Punjab,0.0,"react, html, c++, sales - Work on Marketing projects; stipend 20000","react, html, c++, sales Marketing stipend:20000"
I00010,Data Science Intern,"flask, excel",Data Science,18,35,10000,0,3,1,NITI Aayog,Punjab,0.05,"flask, excel - Work on Data Science projects; stipend 10000","flask, excel Data Science stipend:10000"
I00011,Mobile Intern,"kubernetes, c++, nodejs",Mobile,18,22,8000,0,2,0,NITI Aayog,Telangana,0.2,"kubernetes, c++, nodejs - Work on Mobile projects; stipend 8000","kubernetes, c++, nodejs Mobile stipend:8000"
I00012,Backend Development Intern,"docker, ux",Backend Development,18,22,15000,0,3,0,Ministry of Culture,Gujarat,0.2,"docker, ux - Work on Backend Development projects; stipend 15000","docker, ux Backend Development stipend:15000"
I00013,Backend Development Intern,"css, r, matlab, excel",Backend Development,18,25,5000,1,5,0,MeitY,Kerala,0.05,"css, r, matlab, excel - Work on Backend Development projects; stipend 5000","css, r, matlab, excel Backend Development stipend:5000"
I00014,Data Science Intern,"python, sales, business analysis",Data Science,18,28,8000,1,1,0,MoE,Maharashtra,0.05,"python, sales, business analysis - Work on Data Science projects; stipend 8000","python, sales, business analysis Data Science stipend:8000"
I00015,Finance Intern,"flask, css",Finance,18,28,8000,0,3,0,NITI Aayog,Maharashtra,0.0,"flask, css - Work on Finance projects; stipend 8000","flask, css Finance stipend:8000"
I00016,Product Intern,"marketing, deep learning, sql, excel",Product,18,35,8000,1,5,0,NITI Aayog,Karnataka,0.0,"marketing, deep learning, sql, excel - Work on Product projects; stipend 8000","marketing, deep learning, sql, excel Product stipend:8000"
I00017,Frontend Design Intern,"c++, powerbi, marketing, html",Frontend Design,18,35,15000,1,3,1,Ministry of Culture,Kerala,0.0,"c++, powerbi, marketing, html - Work on Frontend Design projects; stipend 15000","c++, powerbi, marketing, html Frontend Design stipend:15000"
I00018,Product Intern,"powerbi, ios, nodejs, r",Product,18,22,5000,0,2,0,ICAR,Tamil Nadu,0.2,"powerbi, ios, nodejs, r - Work on Product projects; stipend 5000","powerbi, ios, nodejs, r Product stipend:5000"
I00019,Finance Intern,"css, matlab, powerbi",Finance,18,22,10000,1,4,0,MoE,Telangana,0.0,"css, matlab, powerbi - Work on Finance projects; stipend 10000","css, matlab, powerbi Finance stipend:10000"
I00020,Finance Intern,"docker, python, java, spring",Finance,18,22,15000,0,2,0,ICAR,Gujarat,0.0,"docker, python, java, spring - Work on Finance projects; stipend 15000","docker, python, java, spring Finance stipend:15000"
I00021,Mobile Intern,"machine learning, sql, tableau",Mobile,18,25,8000,0,2,0,NITI Aayog,Uttar Pradesh,0.2,"machine learning, sql, tableau - Work on Mobile projects; stipend 8000","machine learning, sql, tableau Mobile stipend:8000"
I00022,Product Intern,"sales, c++, figma, machine learning",Product,18,25,5000,1,3,1,MeitY,Rajasthan,0.1,"sales, c++, figma, machine learning - Work on Product projects; stipend 5000","sales, c++, figma, machine learning Product stipend:5000"
I00023,Marketing Intern,"nlp, marketing",Marketing,18,30,5000,1,1,0,MoE,Uttar Pradesh,0.05,"nlp, marketing - Work on Marketing projects; stipend 5000","nlp, marketing Marketing stipend:5000"
I00024,Finance Intern,"java, marketing, sql, gcp",Finance,18,35,20000,1,1,0,MeitY,Rajasthan,0.0,"java, marketing, sql, gcp - Work on Finance projects; stipend 20000","java, marketing, sql, gcp Finance stipend:20000"
I00025,Product Intern,"deep learning, nlp",Product,18,28,10000,1,4,0,Ministry of Culture,Kerala,0.05,"deep learning, nlp - Work on Product projects; stipend 10000","deep learning, nlp Product stipend:10000"
I00026,DevOps Intern,"html, graphql, nodejs",DevOps,18,30,15000,0,5,0,MeitY,Maharashtra,0.05,"html, graphql, nodejs - Work on DevOps projects; stipend 15000","html, graphql, nodejs DevOps stipend:15000"
I00027,Backend Development Intern,"matlab, sales, nlp, excel",Backend Development,18,25,5000,1,1,0,MoHFW,Tamil Nadu,0.0,"matlab, sales, nlp, excel - Work on Backend Development projects; stipend 5000","matlab, sales, nlp, excel Backend Development stipend:5000"
I00028,Finance Intern,"nlp, android, html",Finance,18,35,20000,1,5,0,MoHFW,Uttar Pradesh,0.1,"nlp, android, html - Work on Finance projects; stipend 20000","nlp, android, html Finance stipend:20000"
I00029,Data Science Intern,"excel, finance",Data Science,18,30,20000,0,4,0,NITI Aayog,Karnataka,0.2,"excel, finance - Work on Data Science projects; stipend 20000","excel, finance Data Science stipend:20000"
